"hour_bucket","requests","successes","errors","input_tokens","output_tokens","cache_creation_input_tokens","cache_read_input_tokens","thinking_tokens","total_tokens","cost_usd"
"2026-05-18 00:00:00",122,122,0,177,61192,2159776,66885601,0,69106746,48.472085
"2026-05-18 01:00:00",451,451,0,1908,394329,6453720,148994605,0,155844562,117.124516
"2026-05-18 02:00:00",722,722,0,1611,548111,4858364,142174355,0,147582441,108.411505
"2026-05-18 03:00:00",541,541,0,2153,399630,31424253,127986528,0,159812564,262.943979
"2026-05-18 04:00:00",685,685,0,2071,773622,44950826,208135515,0,253862034,398.20805
"2026-05-18 05:00:00",746,746,0,4702,505227,8972272,221288684,0,230770885,175.516101
"2026-05-18 06:00:00",577,573,4,4088,499138,9491102,157582378,0,167576706,141.744222
"2026-05-18 07:00:00",1086,1084,2,12623,793273,30730773,283729349,0,315266018,344.332652
"2026-05-18 08:00:00",637,631,6,2554,380490,9754676,209741967,0,219879687,172.853463
"2026-05-18 09:00:00",779,775,4,1808,749433,12991918,285984241,0,299727400,232.271992
"2026-05-18 10:00:00",457,454,3,1523,495826,11029815,172431110,0,183958274,164.413735
"2026-05-18 11:00:00",555,554,1,1387,572343,14908919,267008558,0,282491207,240.088371
"2026-05-18 12:00:00",1193,1193,0,9529,965506,28135811,319756741,0,348867587,354.603636
"2026-05-18 13:00:00",806,803,3,4545,732993,27962925,260841282,0,289541745,316.442441
"2026-05-18 14:00:00",999,999,0,4430,924337,23867839,281620538,0,306417144,305.239624
"2026-05-18 15:00:00",777,776,1,5608,545570,11558497,309908442,0,322018117,238.536914
"2026-05-18 16:00:00",386,385,1,7280,251368,4222880,136531300,0,141012828,98.347786
"2026-05-18 17:00:00",53,53,0,73,40083,831244,17113166,0,17984566,14.754298
"2026-05-18 18:00:00",211,211,0,445,199147,1461996,41193069,0,42854657,32.93711
"2026-05-18 19:00:00",788,788,0,3172,823428,11652117,193940691,0,206419408,188.718079
"2026-05-18 20:00:00",509,509,0,851,587998,5063852,81263364,0,86916065,83.637017
"2026-05-18 21:00:00",487,487,0,597,371741,3903587,59448352,0,63724277,63.418105
"2026-05-18 22:00:00",228,228,0,258,225978,1959654,30327687,0,32513577,33.062421
"2026-05-18 23:00:00",272,272,0,312,223080,2506282,38256132,0,40985806,40.370888
